Date,Open,Low,High,Close,Adj close,Volume,% Change (24 hours),
2019-03-03,3842.93,3821.87,3853.28,3828.73,3828.73,2.07152e+07,-0.382988,
2019-03-02,3831.48,3790.74,3846.38,3843.45,3843.45,7.36098e+07,0.312411,
2019-03-01,3823.37,3822.67,3866.12,3831.48,3831.48,1.01775e+08,0.212113,
2019-02-28,3830.72,3798,3909.86,3823.37,3823.37,1.70647e+08,-0.191866,
2019-02-27,3817.88,3699.53,3851.84,3830.72,3830.72,1.75069e+08,0.336315,
2019-02-26,3845.51,3791.9,3852.66,3817.88,3817.88,1.26869e+08,-0.718504,
2019-02-25,3771.62,3771.53,3885.06,3845.51,3845.51,1.85037e+08,1.9591,
2019-02-24,4149.09,3755.38,4221.62,3771.62,3771.62,3.19072e+08,-9.09765,
2019-02-23,3983.53,3948.48,4192.39,4149.09,4149.09,2.31175e+08,4.15611,
2019-02-22,3937.04,3917.66,3996.15,3983.53,3983.53,1.70405e+08,1.18084,
2019-02-21,3974.05,3900.28,4026.54,3937.04,3937.04,1.87314e+08,-0.931292,
2019-02-20,3924.24,3898.91,3992.31,3974.05,3974.05,2.09282e+08,1.26929,
2019-02-19,3912.57,3882.52,4010.91,3924.24,3924.24,2.92137e+08,0.298267,
2019-02-18,3670.92,3661.42,3952.44,3912.57,3912.57,3.76203e+08,6.58282,
2019-02-17,3617.24,3608.18,3706.17,3670.92,3670.92,1.34218e+08,1.484,
2019-02-16,3593.49,3592.04,3639.75,3617.24,3617.24,8.69738e+07,0.660917,
2019-02-15,3588.72,3575.95,3640.65,3593.49,3593.49,1.30399e+08,0.132917,
2019-02-14,3605.87,3567.39,3619.7,3588.72,3588.72,1.17805e+08,-0.475617,
2019-02-13,3617.41,3590.01,3655.89,3605.87,3605.87,1.46822e+08,-0.319007,
2019-02-12,3611.34,3574.22,3648.67,3617.41,3617.41,1.64816e+08,0.168077,
2019-02-11,3685.14,3608.18,3688.59,3611.34,3611.34,1.46354e+08,-2.00263,
2019-02-10,3652.26,3611.46,3689.32,3685.14,3685.14,1.09365e+08,0.900261,
2019-02-09,3660.03,3616.11,3673.71,3652.26,3652.26,9.42006e+07,-0.212294,
2019-02-08,3375.33,3363.32,3735.1,3660.03,3660.03,3.17023e+08,8.43473,
2019-02-07,3394.89,3369.1,3406.54,3375.33,3375.33,9.73909e+07,-0.576155,
2019-02-06,3447.66,3362.24,3459.33,3394.89,3394.89,1.50409e+08,-1.5306,
2019-02-05,3431.24,3415.67,3447.88,3447.66,3447.66,8.40427e+07,0.478542,
2019-02-04,3449.62,3429.21,3470.8,3431.24,3431.24,8.22809e+07,-0.532816,
2019-02-03,3508.68,3424.42,3514.43,3449.62,3449.62,7.95912e+07,-1.68325,
2019-02-02,3461.63,3441.21,3519.14,3508.68,3508.68,9.41442e+07,1.35919,
2019-02-01,3434.13,3398.96,3478.55,3461.63,3461.63,1.44476e+08,0.800785,
2019-01-31,3467.21,3422.83,3499.78,3434.13,3434.13,1.28774e+08,-0.954083,
2019-01-30,3418.25,3395.94,3488.91,3467.21,3467.21,1.46422e+08,1.43231,
2019-01-29,3453.42,3369.19,3463.2,3418.25,3418.25,1.58107e+08,-1.01841,
2019-01-28,3565.08,3402.56,3567.56,3453.42,3453.42,2.0631e+08,-3.13205,
2019-01-27,3596.5,3511.29,3605.99,3565.08,3565.08,9.37661e+07,-0.873625,
2019-01-26,3582.89,3578.62,3676.4,3596.5,3596.5,1.05927e+08,0.379864,
2019-01-25,3598.52,3539.41,3607.43,3582.89,3582.89,1.16675e+08,-0.434349,
2019-01-24,3572.05,3546.5,3616.33,3598.52,3598.52,1.13155e+08,0.74103,
2019-01-23,3602.04,3543.96,3631.15,3572.05,3572.05,1.35864e+08,-0.832583,
2019-01-22,3571.92,3473.77,3635.69,3602.04,3602.04,1.91355e+08,0.843247,
2019-01-21,3567.73,3535.19,3599.83,3571.92,3571.92,1.29001e+08,0.11744,
2019-01-20,3729.78,3529.25,3754.65,3567.73,3567.73,1.77629e+08,-4.34476,
2019-01-19,3648.05,3643.01,3799.62,3729.78,3729.78,1.43238e+08,2.24037,
2019-01-18,3685.3,3620.44,3685.39,3648.05,3648.05,1.18318e+08,-1.01077,
2019-01-17,3643.99,3586.92,3695.28,3685.3,3685.3,1.68288e+08,1.13365,
2019-01-16,3621.24,3611.38,3704.37,3643.99,3643.99,1.96212e+08,0.628238,
2019-01-15,3703.9,3590.49,3724.3,3621.24,3621.24,1.98582e+08,-2.2317,
2019-01-14,3551.24,3544.53,3748.88,3703.9,3703.9,2.04793e+08,4.29878,
